,userID,text,state_code,party
5,52,i was pessimistic until right now but ketel walk means we 're taking it all the wayrt : kuma is cooking .,AK,D
8,73,"paid family leave is a critical economic issue for americans . our country lags behind in appropriate leave . # debatenightthe american economy can not grow without healthy , skilled workers . we need to look at the full picture . # debatenightrt : right now : there 's an event on with violence , trash talking , lots of offensive activity . there 's also a monday night f…race determines too much today . where you live , your education , your health outcomes . identify the problem & amp ; develop solutions . # debateslet 's discuss gun violence . as a nation . for real this time . # debatenightrt : thank you , lester . finally . stop and frisk is unconstitutional . hands down.rt : how did we close the race segment w/o any mention of treatment of mexican or muslim immigrants in this campaign ? c'mon…rt _blackwell99 : this is god 's way of saying `` primaries matter '' # debatenightrt _blackwell99 : this is god 's way of saying `` primaries matter '' # debatenightrt : how did we close the race segment w/o any mention of treatment of mexican or muslim immigrants in this campaign ? c'mon…rt : thank you , lester . finally . stop and frisk is unconstitutional . hands down.let 's discuss gun violence . as a nation . for real this time . # debatenightrace determines too much today . where you live , your education , your health outcomes . identify the problem & amp ; develop solutions . # debatesrt : right now : there 's an event on with violence , trash talking , lots of offensive activity . there 's also a monday night f…the american economy can not grow without healthy , skilled workers . we need to look at the full picture . # debatenightpaid family leave is a critical economic issue for americans . our country lags behind in appropriate leave . # debatenight the new dc trump tower is the old post office . ( i would 've never known that had i not taken the bus tour . ) i will forever just imagine him sorting mail thort : rape culture is n't ok in locker rooms or on national tv at the level of president . # debate # disgustingwhat would your health insurance premiums look like without aca ? costs were escalating dramatically before aca . # healthcarematters # debatesno lifetime limits is a huge improvement in # healthcare . major costs add up quickly to help americans overcome cancer , accidents , surgery.i personally love going to the doctor and having preventive care covered under # aca . # thanksobama # debatesrt : obamacare has cost significantly *less* than what original cbo estimates had .",AK,D
16,156,"rt : hillary loves her father , a life long republican . # debatenightrt : two smug psychopathic liars who are never held accountable for their crimes . # debatenight # maga # trumptrain",AZ,R
19,180,"i 'm obviously one of the political geeks watching a heated vp debate ! # vpdebateso far kaine has disrespectfully interrupted pence multiple times just like trump in the primaries . why ca n't politicians dialogue civilly ? kaine is a perfect surrogate for hrc . watch style and listen carefully if you disagree prepare to be called names and be forcibly silenced.dem strategy = attack , talk over , berate , forcibly silence , usa has been fundamentally changed under bho & amp ; hrc will continue ! # vpdebatewatching the moderator interrupt pence over and over again is becoming humorous . the deck is stacked ! # vpdebatelooks like pence needs to anticipate both kaine 's & amp ; the moderator 's zingers ! # vpdebatekaine ca n't let pence speak about hrc 's private server b/c it was disgraceful & amp ; dangerous to national security . # vpdebatepence : we need american strength on the world stage . hrc 's show of strength was clear in benghazi 4 dead americans -- disgraceful ! # vpdebatepence : strong america needed : hrc 's `` strong us '' = nuclear iran , isis iraq/syria , more dead americans ! # vpdebatekaine - resorting to name calling ... usual dem tactic . # norespect # vpdebateif debate is about name calling , talking over opponent , dodging ? 's , ignoring facts , kaine is clear `` victor '' # norespect # vpdebateit 's a poor day for americans when elected officials are comfortable lying on camera over and over . we need an outsider ! # vpdebatepence calls this an `` insult driven campaign . '' so true ; # vpdebatekaine says public needs to know about trump 's business in russia ; what about hrc 's foundation payments from middle east ? pay2play ? # vpdebatepence : `` de-nuclearization of nk peninsula is crucial . '' hrc sells $ 20 mill in uranium rites to russia who are buddies w/ iran ! ! ! # vpdebatekaine says `` state dept '' investigated clinton fndtn . there 's no conflict of interest there ! does kaine actually believe what he 's saying ? what 's more important trump tax returns or 33k e-mails that affect us national security -- the safety of our children/grandchildren ? # vpdebatepence : `` sanctity of life is foundational to my belief system . how can hrc/kaine support partial birth abortion and still cling to 'faith ? ' '' pence : `` trump is not a polished politician like you or hrc . '' # vpdebate",AZ,R
21,196,rt : trump is so out of touch he does n't even know that hackers only consume soylent now.rt : trump talking about `` cyber '' is just fucking killing me come onrt : his response was basically `` lots of people were racist in the 70s ¯\_ ( ツ ) _/¯,AZ,R
25,226,"rt : they say 100m people are watching these # debates . if you’re interested enough to watch , i hope you’re interested enough t…rt : they say 100m people are watching these # debates . if you’re interested enough to watch , i hope you’re interested enough t…",AZ,R
26,236,readying 4 the debate with in # tempe # pinkcoffeecup where 's the…,AZ,D
27,239,rt : i have an endless amount of joy knowing that i 'll be reporting for the rest of my life . could n't imagine a better care…rt : i have an endless amount of joy knowing that i 'll be reporting for the rest of my life . could n't imagine a better care…,AZ,D
28,240,"ask # trump to take off his jacket and tie and show us the `` made in '' label. # hillary , ask # trump if he 'll start by bringing back thr jobs he sent ro mexico , china , thailand , etc.questions to # trump : 2 answers including `` how '' : 0did # trump actually just say `` that 's called business , buddy ! '' ? 800-pound gorilla in the room : *every* item in the # trump brand is made outside the usa . evety . single . item . # debates2016 # trumpliescut his mike ! isis has been around since 1965 ? ! ? ! ! # debates2016how do you take the high road when your opponent is wading in an intellectual swamp 30 stories below you ? # trumplieshe used the audit lie . drink ! # trump : `` i have a big dick *and* i 'm audited by the irs every year ! you should be impressed . believe me . `` if holt wo n't tell # trump to stop interrupting , then cut his microphone . # debates2016many people tell me i 'm even richer than i actually am.yes , donald , everything about you is unbelievable.is # lesterholt *that* afraid of # trump suing him that he 's going to let this perpetual stream of blatant lies continue ? yes ... his own . valid , direct answers : 0 answers including `` how '' : 0 answers diverting to his 5 memorized topics : 0 # trump nato countries are not paying their fair share ? does n't that make them smart ? isnt that just good business ? # trumpliescut his fucking mic ! wow , how desperate are you when you have to cite sean hannity as your verification source ? bullshit ! the usa wins theworld series every year ! # trumpliesagainbullshit ! the usa wins theworld series every year ! # trumpliesagainwow , how desperate are you when you have to cite sean hannity as your verification source ? cut his fucking mic ! # trump nato countries are not paying their fair share ? does n't that make them smart ? isnt that just good business ? # trumpliesquestions to # trump : 11 valid , direct answers : 0 answers including `` how '' : 0 answers diverting to his 5 memorized topics : 0bush signed the withdrawal from iraq , not obama . you lying fucking boob ! # trump just claimed he 's been endorsed by ice . federal agencies are forbidden to endorse any political candidates . # trumpliesagainhey # trump ! # ojsimpson settled his murder trial with no admission of guilt , too.ice-skating in hell : # trump attacking someone for disrespecting obama. # trump : `` i 'd like to respond by repeating the same bullshit sound bites i 've already said 5 times since we started this very unfair debate . yes ... his own . # debates2016 # trump : `` i have a big dick *and* i 'm audited by the irs every year ! you should be impressed . believe me . `` he used the audit lie . drink ! how do you take the high road when your opponent is wading in an intellectual swamp 30 stories below you ? # trumpliesisis has been around since 1965 ? ! ? ! ! # debates2016cut his mike ! 800-pound gorilla in the room : *every* item in the # trump brand is made outside the usa . evety . single . item . # debates2016 # trumpliesdid # trump actually just say `` that 's called business , buddy ! '' ? questions to # trump : 2 answers including `` how '' : 0 # hillary , ask # trump if he 'll start by bringing back thr jobs he sent ro mexico , china , thailand , etc.ask # trump to take off his jacket and tie and show us the `` made in '' label.get some new material , # trump . your cassette tape of canned memes is completely worn out. # trump : `` it 's # her fault i have n't paid income taxes in 2 decades . her is evil . her will destroy america . her is being mean to me . unfair ! `` # trump : `` russia is new in terms of nuclear '' ? ! ? ! has this imbecile ever seen a movie or cartoon about the cold war ? ! ? # trump debate ii : `` lie . rinse . repeat . repeat . repeat . `` all the people , # trump ? including fat ugly women who wo n't put out ? 8 minutes post-debate : # trump : `` nailed it . '' # americans with an 80+ iq : `` wtf just happened ? `` # trump has bare-faced lied more times in this one debate than there have ever been cases of voter fraud.what `` war zone '' has ever set foot in , let alone worked in ? no handshake . not enough purell available in the building. # trump needs his dealer to grind his cocaine finer . way too much sniffling.no anderson , you misunderstood what i meant by `` grab 'em by the pussy . `` what 's the rating 11 steps lower than `` pants on fire '' ? this asshole 's denial and delusion is off the charts ! # trump is counting entirely on the `` pay no attention to that man on tv , radio & amp ; the internet '' strategy . `` go fuck yourself , you lying , deviant cocaine addict human-trafficking thieving ignorant whoremonger '' are just words , too.trump : `` i just never *sniff* demonstrate this *sniff* tremendous *sniff sniff* respect i have for *sniff* others . `` trump : `` what i said 11 years ago means nothing . but what bill did 23 years ago means everything . now stop persecuting me . unfair ! `` they 're just pressing `` play '' on the tape recorder from the same lies he spewed out spread of his fans 2 weeks ago.please . somebody just shoot this lying coke-head in the head and end this farce once and for all.look way , way up trump . *way* up there . strain as much as humanly possible to look as high as you can . that 's the bottom of the toilet.and they have n't even started the questions from the audience or internet yet . trump is just going to burst into methane flames.this ass-clown is already gone.oh that poor , victimized ittums trump . theyre ganging up on him . puty the ooor little man-baby . *this* is the result of three days of # trump 's `` hardcore debate prep '' ? obamacare is a disaster ! people are roaming the streets , eating human flesh . only i can replace it with ... uh ... something.look at the way # trump is pacing and fidgeting . that 's a textbook cocaine high , people.does canadian healthcare cover cocaine addiction ? # trump : `` islamophobia is a shame ... that people wont just attack muslims blindly and scour their filth off my white planet . `` # hillary talks *to* the muslim lady . # trump barks at the audience and his base that htc saying 3 words will solve the problem.five questions . five deflections . # trump has nothing but the six canned phrases that he can only parrot . this ignorant dunce is pathetic.maybe # trump should have vetted his senior campaign leaders the way he wants to vet muslims.government agencies are forbidden from endorsing candidate . you 're full of shot as always , # trumpie . ice did not endorse you. # trump : high af ! no deals ? no business ? no loans from russia ? does this jackass even care what he lies about or why ? next debate : mandatory monitored piss test 5 minutes before start.i think # trump 's been programmed to *sniff* every time he knows he lies so it triggers him to repeat the next canned meme. # trump has bare-faced lied more times in this one debate than there have ever been cases of voter fraud.8 minutes post-debate : # trump : `` nailed it . '' # americans with an 80+ iq : `` wtf just happened ? `` all the people , # trump ? including fat ugly women who wo n't put out ? # trump debate ii : `` lie . rinse . repeat . repeat . repeat . `` # trump : `` russia is new in terms of nuclear '' ? ! ? ! has this imbecile ever seen a movie or cartoon about the cold war ? ! ? # trump : `` it 's # her fault i have n't paid income taxes in 2 decades . her is evil . her will destroy america . her is being mean to me . unfair ! `` get some new material , # trump . your cassette tape of canned memes is completely worn out.i think # trump 's been programmed to *sniff* every time he knows he lies so it triggers him to repeat the next canned meme.next debate : mandatory monitored piss test 5 minutes before start.no deals ? no business ? no loans from russia ? does this jackass even care what he lies about or why ? # trump : high af ! government agencies are forbidden from endorsing candidate . you 're full of shot as always , # trumpie . ice did not endorse you.maybe # trump should have vetted his senior campaign leaders the way he wants to vet muslims.five questions . five deflections . # trump has nothing but the six canned phrases that he can only parrot . this ignorant dunce is pathetic. # hillary talks *to* the muslim lady . # trump barks at the audience and his base that htc saying 3 words will solve the problem. # trump : `` islamophobia is a shame ... that people wont just attack muslims blindly and scour their filth off my white planet . `` does canadian healthcare cover cocaine addiction ? look at the way # trump is pacing and fidgeting . that 's a textbook cocaine high , people.obamacare is a disaster ! people are roaming the streets , eating human flesh . only i can replace it with ... uh ... something . *this* is the result of three days of # trump 's `` hardcore debate prep '' ? oh that poor , victimized ittums trump . theyre ganging up on him . puty the ooor little man-baby.this ass-clown is already gone.and they have n't even started the questions from the audience or internet yet . trump is just going to burst into methane flames.look way , way up trump . *way* up there . strain as much as humanly possible to look as high as you can . that 's the bottom of the toilet.please . somebody just shoot this lying coke-head in the head and end this farce once and for all.they 're just pressing `` play '' on the tape recorder from the same lies he spewed out spread of his fans 2 weeks ago.trump : `` what i said 11 years ago means nothing . but what bill did 23 years ago means everything . now stop persecuting me . unfair ! `` trump : `` i just never *sniff* demonstrate this *sniff* tremendous *sniff sniff* respect i have for *sniff* others . `` `` go fuck yourself , you lying , deviant cocaine addict human-trafficking thieving ignorant whoremonger '' are just words , too. # trump is counting entirely on the `` pay no attention to that man on tv , radio & amp ; the internet '' strategy.what 's the rating 11 steps lower than `` pants on fire '' ? this asshole 's denial and delusion is off the charts ! no anderson , you misunderstood what i meant by `` grab 'em by the pussy . `` # trump needs his dealer to grind his cocaine finer . way too much sniffling.no handshake . not enough purell available in the building.what `` war zone '' has ever set foot in , let alone worked in ? # trump is ready to rumble . he looks agitated , motivated and constipated . # debate 2016 # hillaryheyyyy , i thought `` 2 corinthians '' was what it 's all about ... ? heyyyy , i thought `` 2 corinthians '' was what it 's all about ... ? # trump # hillary # # debate2016does # trump know there are *other* amendments to the # constitution ? wallace : `` what do you feel is the best way to clarify the court 's interpretation of the # 2ndamendment ? '' # trump : `` the nra endorsed me ! `` # trump : `` i am very pro-life `` except , of course , for your whole life up until october 2015 . # trump should be forced to wear a helmet full-time . `` ripping the baby out 1 , 2 or 3 days before '' is called delivery , you imbecile.ice did not endorse you , you lying putz . the ice *union* endorsed you.but we 're gon na keep the good drug lords ? # trump # hillary # immigration # ins # trump should fire his # cocaine dealer . the stuff he 's snorting just is n't fine enough. # trump : `` we 're going to do bigly very much better . `` here comes the meltdown . sniff sniff ... interpretation ... sniff ... deny deny ... sniiiiiiiffffbugly . *drink*somebody please tell this imbecile that `` bigly '' is n't a word . # trumplies # biglyso far , every sentence from # trump has been to blame/named rope someone else . # hillary # debate2016rehearsed soundbite . *drink* # trump : `` i know you are but what am i ? '' # hillary # trumpthepuppet # trump : `` how *dare* you talk while i 'm interrupting ! ! ! ? ? `` # trump : `` i do n't know putin . i 've never met # putin . '' then you were lying in this video ? okay , how about a video ? exactly ! your trump-brand products are made in china and mexico and thailand ... how do you lose $ 916 million in one year , # trump ... while running casinos ? # trumplies # trumplies # trumplieshey # trump , two of those lying women you 've never met '' have given detailed descriptions of your # tinypenis . lie your way out of that.fiction lies ? does n't that make them facts ? what the f*ck do # hillary 's emails have to do with your sexual deviance , perversion and assault ? # trump denies mockng a disabled reporter . # debate 2016 # hillaryheyyyy , i thought `` 2 corinthians '' was what it 's all about ... ? heyyyy , i thought `` 2 corinthians '' was what it 's all about ... ? # trump # hillary # # debate2016does # trump know there are *other* amendments to the # constitution ? wallace : `` what do you feel is the best way to clarify the court 's interpretation of the # 2ndamendment ? '' # trump : `` the nra endorsed me ! `` # trump : `` i am very pro-life `` except , of course , for your whole life up until october 2015 . # trump should be forced to wear a helmet full-time . `` ripping the baby out 1 , 2 or 3 days before '' is called delivery , you imbecile.ice did not endorse you , you lying putz . the ice *union* endorsed you.but we 're gon na keep the good drug lords ? # trump # hillary # immigration # ins # trump should fire his # cocaine dealer . the stuff he 's snorting just is n't fine enough. # trump : `` we 're going to do bigly very much better . `` here comes the meltdown . sniff sniff ... interpretation ... sniff ... deny deny ... sniiiiiiiffffbugly . *drink*somebody please tell this imbecile that `` bigly '' is n't a word . # trumplies # biglyso far , every sentence from # trump has been to blame/named rope someone else . # hillary # debate2016rehearsed soundbite . *drink* # trump : `` i know you are but what am i ? '' # hillary # trumpthepuppet # trump : `` how *dare* you talk while i 'm interrupting ! ! ! ? ? `` # trump : `` i do n't know putin . i 've never met # putin . '' then you were lying in this video ? okay , how about a video ? exactly ! your trump-brand products are made in china and mexico and thailand ... how do you lose $ 916 million in one year , # trump ... while running casinos ? # trumplies # trumplies # trumplieshey # trump , two of those lying women you 've never met '' have given detailed descriptions of your # tinypenis . lie your way out of that.fiction lies ? does n't that make them facts ? what the f*ck do # hillary 's emails have to do with your sexual deviance , perversion and assault ? # trump denies mockng a disabled reporter . # vpdebate2016if # hillary 's campaign has been an avalanche of insults , # trump 's is an extinction-level planet-sized asteroid of insults. # pence came loaded for bare ... as in bare-faced lies . still havent heard him answer one question directly.for the love of crackers ! someone mention that 84 % of the `` jobs # trump created '' are in china , mexico & amp ; thailand ! # vpdebate2016 # pence # kaineanswer the tax return question , duck dodgers ! seven unanswered questions in a row . # vpdebate # pence : `` he 's going to release his tax returns when the audit is over . '' it 's pronounced `` election , '' not `` audit . `` why has _pence made buying guns in his state easier when indianapolis’s murder rate tops chicago’s ? # vpdebate '' avalanche of insults '' : it 's the distraction from facts and issues du jour . `` on day one of my presidency , 12 million illegals ... gone ! '' - donald trump , june 9 , 2016 . # pence is a lying puppet # vpdebate # pence has inherited # trump 's allergy to facts , videos and direct verbatim quotes . # vpdebateloving # pence 's `` poppycock '' expression responding to every quote kaine just cited . your boss said *all* that , mikey . # vpdebateat this point , waiting for # pence to just say `` pfffffft '' smirk and make a masturbatory gesture . # vpdebate # pence is invoking the adaa 's 5 d 's of debating : duck , dodge , deny , dilute and decry . with extra helpings of deny , dodge & amp ; a side delusion.hey # pence , it 's inarguable that you 're lying . your putin man-crush is *well* documented . # abortion",AZ,D
30,250,rt : a lot of women watching are going to recognize the way that he 's interrupting her & amp ; yelling # debatenightrt : i would be under budget on all my projects too if i did n't pay my workers . # debatenightrt : those gleaming airports in far flung lands ? built w/ slave labor . those gleaming golf clubs in the trump empire ? unpaid… # debatenight the next time # donaldtrump sniffs i wish # hillaryclinton would turn to him and ask if he is feeling okay # debatenight the next time # donaldtrump sniffs i wish # hillaryclinton would turn to him and ask if he is feeling okayrt : those gleaming airports in far flung lands ? built w/ slave labor . those gleaming golf clubs in the trump empire ? unpaid…rt : i would be under budget on all my projects too if i did n't pay my workers . # debatenightrt : a lot of women watching are going to recognize the way that he 's interrupting her & amp ; yelling # debatenightrt : how do we get obama 4 more years ? # debatert : imagine this # debate without twitter . i love you guys . we 're in this together.rt _tait : i would gladly take another four years of barack obama # debate,AZ,D
