userID,text,created_at,favorite_count,followers_account,friends_count,location
21804,"RT @LiveCivilly: You should never be bored, be happy to be alive.- Louis Ck #quote https://t.co/PtZqZTH0Vq",10/19/2016 21:00:02 EDT,5076,1088,2150,NJ
7128,RT @MarieMa49685063: #Debates #NeverHillary She has two personalities. 1) in private with business and money donors and 2) in public to… ,10/19/2016 21:00:02 EDT,132,94,152,"Lexington Park, MD"
8399,RT @NintendoAmerica: Be among the first to discover #NX. Watch the Preview Trailer at 7am PT/10am ET! https://t.co/R2QTzjyLUo,10/19/2016 21:00:09 EDT,7479,131,255,"Rochelle, Illinois"
6772,🙄🙄🙄 https://t.co/qejZsJufhT,10/19/2016 21:00:10 EDT,7847,1893,1734,"Boston, MA"
1597,RT @ThePatriot143: No wonder Obama gave our internet away...It's so powerful #TheTruth  #RiggedSystem #DrainTheSwamp #MAGA3X… ,10/19/2016 21:00:11 EDT,71,353,219,"Pittsburgh, PA"
2501,Chris Wallace says he’s happy to welcome crowd to last lecture of the political season. #debatenight,10/19/2016 21:00:11 EDT,138,1649,729,"Washington, DC."
10475,"RT @matthewbaldwin: I hate how the candidates pander to ""hardworking Americans"". When will Americans like me have a voice?",10/19/2016 21:00:12 EDT,1776,383,234,LIC Qns. NYC USA (via CCFL)
12722,RT @kelleybuehler: https://t.co/0MHb6VjjIy,10/19/2016 21:00:13 EDT,4278,149,1068," Adelanto, CA 92301"
9288,RT @Refinery29: Please join me (@LauraBenanti) while I live tweet the third and final debate! LB #Debate https://t.co/O1jdDzSOnL,10/19/2016 21:00:13 EDT,2590,7400,1515,NYC
20227,RT @MashupTunes: I LOVE THIS https://t.co/GQ5wCVSOnG,10/19/2016 21:00:14 EDT,18153,828,867,Saint Louis University 2017
10671,RT @mattyglesias: https://t.co/c8PYAbhVHw,10/19/2016 21:00:14 EDT,103,652,1381,Florida
14686,"Confused by ""judgement is near, you need Jesus, not a 'church'"" picket sign. Is this pro churches need to evolve? Weird for #debatenight",10/19/2016 21:00:14 EDT,280,218,491,"Norwalk, CT"
17892,"#livetweet #debatenight let's do this. Making history, sadly.",10/19/2016 21:00:15 EDT,6249,1496,873,"NJ, NYC, SHH RIGHT BEHIND YOU!"
16833,RT @ChrisGorbos: UNLV is the only university where you can major in bottle service #debatenight,10/19/2016 21:00:15 EDT,5263,291,601,"Washington, DC"
