userID,text,created_at,favorite_count,followers_account,friends_count,location
2437,"@peterheyck C⃝o⃝o⃝l⃝ b⃝r⃝e⃝e⃝z⃝e⃝ 
⛄⛄⛄⛄⛄⛄
https://t.co/dsrnLm5vVY  
 ⛄⛄⛄⛄⛄
https://t.co/5bpcAki3ix   
Fͨoͨlͨlͨoͨwͨ",10/04/2016 21:00:08 EDT,309162,167077,172067,Nevada
16038,"RT @TheFix: ""Governor Pence, is Donald Trump a role model?"" https://t.co/SemFGf0pb0",10/04/2016 21:00:11 EDT,42515,2406,1027,"Silver Spring, MD"
1921,"On a side note, I &lt;3 @Cspan for these things. Guess what I'm not listening to? Talking heads blathering on. #VPDebate",10/04/2016 21:00:11 EDT,838,313,192,Oregon
16038,"RT @CameronConaway: Being gay is a choice &amp; giving rights to gay couples signals ""societal collapse"" -@mike_pence, ignorant human &amp; U.S. VP…",10/04/2016 21:00:22 EDT,42515,2406,1027,"Silver Spring, MD"
17041,"RT @pourmecoffee: The first question for Pence should be, ""If you want out, just say so. There are people who care for you and want to help…",10/04/2016 21:00:23 EDT,14036,570,668,"St Paul, MN"
19259,Buena pregunta https://t.co/RM2RU14JBa,10/04/2016 21:00:26 EDT,788,903,1000,"Miami, FL"
21815,"RT @costareports: Some follows for tonight
@Fahrenthold 
@PhilipRucker 
@DanEggenWPost 
@wpjenna 
@stevenjay 
@AmyEGardner 
@ktumulty 
@The…",10/04/2016 21:00:28 EDT,641,3431,820,"Washington, DC"
22763,bye bye,10/04/2016 21:00:31 EDT,43686,619,594,"Da Parish, LA"
11804,RT @HillaryClinton: RT to let @TimKaine know you've got his back tonight. #VPDebate https://t.co/XzjUE0cfnp,10/04/2016 21:00:33 EDT,1848,49,36,"Atlanta, GA"
2600,"RT @LeaphartElem: Monday, Oct10, previously a student holiday will be a regular school day.  Weather will continue to be monitored.",10/04/2016 21:00:34 EDT,2098,1105,2556,"Columbia, SC"
22570,"Ryan Anderson's 3P% over the past 2 seasons is 35.3%. He hit 38.6% in his first 6.

...what if he just isn't an ""elite"" 3pt shooter anymore?",10/04/2016 21:00:36 EDT,3377,4713,863,"Chicago, IL"
2437,"RT @jojokejohn: WARNER BROS STORE-JERRY(TOM&amp;)MOUSE BEAN PLUSH-8""-NEW/TAGS-WHISKERS-BOW TIE-1999- #warnerbro https://t.co/7kobkeALdV? https:…",10/04/2016 21:00:38 EDT,309162,167077,172067,Nevada
2963,No surprises here..... NFL's 'Monday Night Football' Keeps Dropping In Ratings via @forbes https://t.co/FoEWhV9S3q,10/04/2016 21:00:41 EDT,923,183,565,Central Ohio
9445,"I've spent this episode like, ""Where do I know this hot priest from?"" (Not my pants, sadly.) He's Hernando from #Sense8! #TheExorcist",10/04/2016 21:00:46 EDT,13336,1748,174,"New York, NY"
2437,"@SoraN250 C⃝o⃝o⃝l⃝ b⃝r⃝e⃝e⃝z⃝e⃝ 
⛄⛄⛄⛄⛄⛄
https://t.co/dsrnLm5vVY  
 ⛄⛄⛄⛄⛄
https://t.co/5bpcAki3ix   
Fͨoͨlͨlͨoͨwͨ",10/04/2016 21:00:51 EDT,309163,167077,172067,Nevada
812,RT @TNT_Mariners: 1. AL Wild Card game. https://t.co/1cZlAGE7Pu,10/04/2016 21:00:52 EDT,11,119,76,Elma Wa 
17565,Might eat. https://t.co/B9rq8QJPGJ,10/04/2016 21:01:01 EDT,78409,754,1426,Chicago
