"userID","state_code","party"
1,"AK","D"
2,"AK","D"
3,"AL","NA"
4,"AL","NA"
5,"AL","NA"
6,"AL","NA"
7,"AL","NA"
8,"AL","NA"
9,"AL","NA"
10,"AL","NA"
11,"AL","NA"
12,"AL","NA"
13,"AL","NA"
14,"AL","NA"
15,"AL","NA"
16,"AL","NA"
17,"AL","NA"
18,"AL","NA"
19,"AL","NA"
20,"AL","NA"
21,"AL","NA"
22,"AL","NA"
23,"AL","NA"
24,"AL","NA"
25,"AL","NA"
26,"AK","I"
27,"AL","NA"
28,"AL","NA"
29,"AL","NA"
30,"AL","NA"
31,"AL","NA"
32,"AL","NA"
33,"AL","NA"
34,"AL","NA"
35,"AL","NA"
36,"AL","NA"
37,"AL","NA"
38,"AL","NA"
39,"AL","NA"
40,"AL","NA"
41,"AL","NA"
42,"AL","NA"
43,"AL","NA"
44,"AL","NA"
45,"AL","NA"
46,"AK","R"
47,"AL","NA"
48,"AL","NA"
49,"AL","NA"
50,"AL","NA"
51,"AL","NA"
52,"AK","D"
53,"AK","I"
54,"AK","R"
55,"AL","NA"
56,"AL","NA"
57,"AL","NA"
58,"AL","NA"
59,"AL","NA"
60,"AL","NA"
61,"AL","NA"
62,"AL","NA"
63,"AL","NA"
64,"AL","NA"
65,"AK","I"
66,"AK","I"
67,"AL","NA"
68,"AL","NA"
69,"AL","NA"
70,"AL","NA"
71,"AL","NA"
72,"AK","I"
73,"AK","D"
74,"AL","NA"
75,"AL","NA"
76,"AL","NA"
77,"AK","R"
78,"AK","I"
79,"AK","I"
80,"AL","NA"
81,"AK","I"
82,"AL","NA"
83,"AL","NA"
84,"AK","I"
85,"AL","NA"
86,"AK","R"
87,"AL","NA"
88,"AL","NA"
89,"AL","NA"
90,"AL","NA"
91,"AK","I"
92,"AL","NA"
93,"AL","NA"
94,"AL","NA"
95,"AL","NA"
96,"AL","NA"
97,"AL","NA"
98,"AL","NA"
99,"AR","NA"
100,"AR","NA"
101,"AZ","D"
102,"AR","NA"
103,"AZ","D"
104,"AZ","I"
105,"AR","NA"
106,"AR","NA"
107,"AR","NA"
108,"AR","NA"
109,"AZ","D"
110,"AZ","R"
111,"AR","NA"
112,"AZ","D"
113,"AZ","I"
114,"AL","NA"
115,"AL","NA"
116,"AR","NA"
117,"AR","NA"
118,"AL","NA"
119,"AZ","D"
120,"AR","NA"
121,"AZ","R"
122,"AZ","D"
123,"AR","NA"
124,"AR","NA"
125,"AR","NA"
126,"AR","NA"
127,"AR","NA"
128,"AR","NA"
129,"AZ","I"
130,"AL","NA"
131,"AL","NA"
132,"AL","NA"
133,"AZ","R"
134,"AZ","L"
135,"AR","NA"
136,"AZ","I"
137,"AL","NA"
138,"AL","NA"
139,"AR","NA"
140,"AR","NA"
141,"AZ","I"
142,"AR","NA"
143,"AR","NA"
144,"AR","NA"
145,"AR","NA"
146,"AR","NA"
147,"AR","NA"
148,"AZ","I"
149,"AR","NA"
150,"AZ","D"
151,"AL","NA"
152,"AL","NA"
153,"AR","NA"
154,"AR","NA"
155,"AR","NA"
156,"AZ","R"
157,"AR","NA"
158,"AR","NA"
159,"AR","NA"
160,"AR","NA"
161,"AR","NA"
162,"AZ","R"
163,"AR","NA"
164,"AR","NA"
165,"AR","NA"
166,"AR","NA"
167,"AR","NA"
168,"AR","NA"
169,"AR","NA"
170,"AR","NA"
171,"AZ","I"
172,"AZ","I"
173,"AR","NA"
174,"AZ","R"
175,"AZ","R"
176,"AL","NA"
177,"AR","NA"
178,"AR","NA"
179,"AR","NA"
180,"AZ","R"
181,"AL","NA"
182,"AR","NA"
183,"AR","NA"
184,"AZ","R"
185,"AZ","R"
186,"AL","NA"
187,"AR","NA"
